t [ms] 	      u [m/s]
3205.86 	 0.34127900
3206.11 	 0.34747100
3206.80 	 0.34216800
3207.38 	 0.33919400
3216.10 	 0.34790000
3221.49 	 0.33494900
3226.63 	 0.34363900
3237.02 	 0.35389300
3250.39 	 0.34877400
3261.13 	 0.33461100
3271.08 	 0.32438800
3311.16 	 0.33271100
3324.33 	 0.34307200
3336.16 	 0.35147200
3344.16 	 0.35415400
3348.69 	 0.34951000
3364.45 	 0.35064400
3365.89 	 0.35161000
3378.22 	 0.35858400
3389.24 	 0.35101200
3409.88 	 0.34327100
3437.71 	 0.35389300
3460.58 	 0.36005500
3463.26 	 0.35315800
3484.87 	 0.35009200
3489.03 	 0.36013200
3516.01 	 0.36655400
3526.05 	 0.34748600
3553.83 	 0.35387800
3556.52 	 0.36046900
3559.33 	 0.36667700
3589.77 	 0.36050000
3601.58 	 0.34055800
3616.25 	 0.35864500
3619.22 	 0.35939600
3632.99 	 0.35859900
3637.77 	 0.34785400
3642.78 	 0.34178500
3645.77 	 0.35510400
3658.01 	 0.36063800
3672.12 	 0.35348000
3687.88 	 0.34189200
3693.34 	 0.34650600
3693.61 	 0.35564100
3706.90 	 0.34290400
3707.50 	 0.34196900
3710.01 	 0.34367000
3745.51 	 0.34157000
3748.58 	 0.35291200
3757.24 	 0.34610700
3772.63 	 0.34872800
3794.36 	 0.33855100
3805.12 	 0.34914200
3811.78 	 0.35119600
3818.16 	 0.33727800
3840.52 	 0.33691000
3850.64 	 0.33586800
3851.06 	 0.34672000
3858.16 	 0.32989000
3859.88 	 0.34695000
3861.15 	 0.33493300
3864.76 	 0.34201500
3871.97 	 0.34095700
3884.97 	 0.34918800
3892.38 	 0.35153300
3909.04 	 0.35006200
3911.60 	 0.34488100
3948.40 	 0.34664300
3951.21 	 0.33901000
3969.00 	 0.34176900
3992.14 	 0.35591700
4010.30 	 0.35538000
4011.41 	 0.34501900
4018.52 	 0.34501900
4019.25 	 0.35413900
4020.08 	 0.36345800
4021.73 	 0.34469700
4031.04 	 0.34477400
4033.21 	 0.35274400
4039.02 	 0.35786300
4044.44 	 0.34943300
4045.09 	 0.35308100
4067.73 	 0.35818500
4072.44 	 0.35124200
4074.05 	 0.35608500
4079.01 	 0.35446100
4089.85 	 0.35956500
4100.36 	 0.35557900
4113.78 	 0.34457400
4118.07 	 0.36266100
4123.84 	 0.34130900
4126.32 	 0.35625400
4134.47 	 0.33694100
4146.88 	 0.34915700
4149.35 	 0.34452800
4168.03 	 0.35610100
4170.63 	 0.36286000
4179.73 	 0.36088300
4187.07 	 0.35098100
4187.67 	 0.35395500
4188.68 	 0.34603000
4191.36 	 0.35565600
4206.57 	 0.34529500
4220.48 	 0.35329600
4221.27 	 0.35518100
4344.54 	 0.34192300
4352.07 	 0.35812400
4358.37 	 0.35003100
4362.83 	 0.34247400
4378.56 	 0.34166200
4397.58 	 0.34535600
4402.06 	 0.35337200
4412.02 	 0.33787600
4427.21 	 0.34848300
4429.88 	 0.34385400
4439.96 	 0.35596300
4444.75 	 0.35314200
4461.78 	 0.35435300
4476.37 	 0.35801700
4477.57 	 0.35639200
4478.98 	 0.35912000
4488.18 	 0.35954900
4489.47 	 0.35771000
4504.87 	 0.34002200
4556.08 	 0.36201700
4583.18 	 0.34222900
4591.07 	 0.33822900
4630.31 	 0.34780800
4647.86 	 0.35141000
4658.33 	 0.34373100
4664.99 	 0.33525500
4715.07 	 0.33891800
4721.15 	 0.34906500
4751.35 	 0.35418500
4752.07 	 0.33519400
4757.51 	 0.34035900
4793.91 	 0.33786100
4814.01 	 0.33683400
4815.15 	 0.34221400
4820.14 	 0.35328000
4829.19 	 0.33919400
4852.39 	 0.34477400
4875.73 	 0.32490900
4877.13 	 0.32546100
4880.28 	 0.33211300
4889.15 	 0.33209800
4926.86 	 0.34236700
4935.29 	 0.35191600
4963.43 	 0.34704200
4967.92 	 0.34436000
4980.40 	 0.34161600
4989.56 	 0.34092600
4990.76 	 0.35361800
5015.32 	 0.35628500
5026.25 	 0.34831400
5033.10 	 0.34181500
5044.09 	 0.33117800
5061.31 	 0.34143200
5067.97 	 0.32674800
5070.98 	 0.33050400
5084.21 	 0.32322300
5088.25 	 0.33899500
5113.08 	 0.34489600
5161.14 	 0.33715600
5171.34 	 0.33294100
5210.65 	 0.34163100
5214.54 	 0.33185200
5217.95 	 0.32487800
5237.70 	 0.32518500
5256.65 	 0.33035000
5271.20 	 0.34221400
5283.33 	 0.33398300
5291.64 	 0.33007400
5313.45 	 0.33312500
5331.66 	 0.33470300
5336.23 	 0.33937800
5345.87 	 0.32684000
5354.43 	 0.33902600
5367.72 	 0.33130100
5372.55 	 0.33917900
5376.55 	 0.33720200
5379.28 	 0.34089600
5390.93 	 0.34862100
5413.73 	 0.34839100
5422.30 	 0.33809100
5425.65 	 0.33850500
5436.50 	 0.34157000
5439.23 	 0.34336300
5443.36 	 0.34836000
5447.85 	 0.35404700
5466.57 	 0.36062200
5488.06 	 0.35118000
5528.28 	 0.34901900
5537.14 	 0.33852000
5539.09 	 0.35150200
5539.50 	 0.34731800
5568.72 	 0.34187700
5584.64 	 0.34931000
5592.60 	 0.35138000
5605.59 	 0.34978600
5607.43 	 0.35334200
5628.43 	 0.34504900
5630.44 	 0.34468200
5635.92 	 0.34900400
5648.43 	 0.34091100
5671.60 	 0.34802300
5684.87 	 0.33977700
5686.07 	 0.34196900
5702.10 	 0.34951000
5711.37 	 0.35159400
5713.31 	 0.34291900
5716.44 	 0.34814600
5757.81 	 0.35240700
5775.05 	 0.34002200
5775.87 	 0.34045100
5777.81 	 0.34662800
5783.07 	 0.35521200
5790.11 	 0.35548800
5800.80 	 0.35564100
5806.07 	 0.34734900
5813.90 	 0.35430700
5829.66 	 0.34477400
5831.47 	 0.35133400
5836.31 	 0.34448200
5844.61 	 0.34707300
5914.26 	 0.33997600
5936.08 	 0.35039900
5951.36 	 0.36253800
5959.75 	 0.34543300
6018.42 	 0.35128800
6043.69 	 0.34429800
6050.36 	 0.34377700
6064.20 	 0.35049100
6070.65 	 0.34584600
6074.50 	 0.35105800
6080.03 	 0.35237600
6088.04 	 0.34199900
6101.99 	 0.34882000
6104.38 	 0.35530400
6133.14 	 0.35711200
6172.49 	 0.33966900
6173.95 	 0.34774700
6186.43 	 0.33939400
6190.40 	 0.33758500
6203.11 	 0.34521800
6205.42 	 0.34101800
6206.96 	 0.33764600
6212.59 	 0.34112600
6223.43 	 0.34469700
6226.24 	 0.35649900
6244.56 	 0.35286600
6271.05 	 0.33974600
6277.39 	 0.35853800
6282.67 	 0.36005500
6353.16 	 0.35176300
6355.15 	 0.34183100
6370.04 	 0.35384700
6377.07 	 0.34437500
6391.38 	 0.34144700
6392.09 	 0.34006800
6399.70 	 0.35516600
6425.93 	 0.35312700
6459.83 	 0.34662800
6482.29 	 0.35055200
6500.07 	 0.34282700
6535.94 	 0.34500300
6590.05 	 0.34664300
6645.14 	 0.34785400
6651.08 	 0.34647500
6674.49 	 0.34480400
6679.58 	 0.35312700
6691.08 	 0.33813700
6714.18 	 0.35571700
6718.24 	 0.34143200
6732.35 	 0.34672000
6749.33 	 0.33985300
6763.01 	 0.33913300
6769.31 	 0.34005300
6770.58 	 0.33795300
6793.06 	 0.35505800
6796.01 	 0.33852000
6814.82 	 0.35541100
6822.08 	 0.34764000
6824.08 	 0.34898900
6825.38 	 0.33829000
6838.09 	 0.35110400
6838.81 	 0.35726600
6861.13 	 0.34008300
6898.67 	 0.33701800
6899.57 	 0.34317900
6913.74 	 0.35321900
6933.41 	 0.34121800
6935.48 	 0.33125500
6965.06 	 0.33065700
6968.67 	 0.33861200
6984.11 	 0.33804500
7024.65 	 0.35260600
7030.46 	 0.34474300
7032.44 	 0.34413000
7049.18 	 0.34768600
7062.93 	 0.34757800
7067.01 	 0.35812400
7069.35 	 0.34452800
7088.08 	 0.34166200
7107.89 	 0.34462000
7121.72 	 0.35669800
7128.02 	 0.34580000
7150.80 	 0.34894300
7151.39 	 0.35432300
7159.81 	 0.35050600
7168.41 	 0.34768600
7177.55 	 0.34158500
7178.60 	 0.35605500
7185.36 	 0.33252700
7199.37 	 0.33615900
7203.27 	 0.34207600
7238.54 	 0.33711000
7255.05 	 0.34333300
7277.19 	 0.34491100
7324.76 	 0.32394300
7352.84 	 0.33450400
7355.08 	 0.33600600
7374.78 	 0.34923400
7397.38 	 0.37141300
7403.13 	 0.35492000
7405.04 	 0.36413200
7419.06 	 0.37141300
7429.55 	 0.36638500
7458.84 	 0.35217700
7467.49 	 0.35370900
7482.02 	 0.35708200
7498.29 	 0.35058300
7499.66 	 0.35275900
7505.72 	 0.35930400
7516.03 	 0.34626000
7530.76 	 0.34426800
7531.35 	 0.35269800
7537.98 	 0.33976100
7547.91 	 0.34633700
7564.63 	 0.35122600
7586.96 	 0.33973100
7590.89 	 0.33707900
7603.34 	 0.34730300
7605.77 	 0.33786100
7622.41 	 0.33493300
7627.10 	 0.33956200
7639.96 	 0.33709400
7644.29 	 0.33740100
7661.27 	 0.33825900
7691.35 	 0.35184000
7714.71 	 0.35686700
7732.94 	 0.35933500
7739.52 	 0.35752600
7747.26 	 0.35699000
7751.97 	 0.35478200
7760.59 	 0.34716500
7761.23 	 0.35813900
7779.47 	 0.36496000
7782.51 	 0.34958600
7799.12 	 0.36330500
7855.42 	 0.35597800
7866.73 	 0.34679700
7878.46 	 0.34848300
7881.08 	 0.34359300
7898.17 	 0.34321000
7912.52 	 0.34031300
7918.64 	 0.34886600
7920.24 	 0.34757800
7934.56 	 0.34627600
7937.47 	 0.33879600
7941.23 	 0.34094200
7942.56 	 0.34167700
7967.94 	 0.34596900
8000.04 	 0.32967600
8020.33 	 0.33375300
8026.55 	 0.34570900
8035.36 	 0.34040500
8053.75 	 0.34193800
8067.04 	 0.34233600
8076.10 	 0.35593200
8085.90 	 0.34940200
8107.03 	 0.35344900
8126.65 	 0.34791600
8135.25 	 0.34586200
8142.77 	 0.35755700
8145.42 	 0.35893600
8157.39 	 0.34334800
8159.37 	 0.33950100
8180.32 	 0.34799200
8189.22 	 0.34803800
8202.59 	 0.35018400
8229.81 	 0.35550300
8241.72 	 0.34241300
8283.28 	 0.33921000
8295.96 	 0.33937800
8316.29 	 0.33479500
8337.00 	 0.34367000
8352.57 	 0.32963000
8358.82 	 0.33291000
8373.27 	 0.33668100
8378.14 	 0.34169300
8383.58 	 0.34737900
8424.10 	 0.34166200
8438.58 	 0.33111700
8452.22 	 0.34120200
8460.83 	 0.33404400
8481.57 	 0.33499500
8489.76 	 0.33784500
8496.94 	 0.33200600
8509.70 	 0.33439700
8576.74 	 0.33264900
8592.61 	 0.34325600
8606.77 	 0.34649000
8613.31 	 0.35191600
8623.59 	 0.35626900
8631.03 	 0.36076000
8648.45 	 0.36439300
8649.06 	 0.36511300
8663.84 	 0.34903500
8676.25 	 0.35312700
8678.46 	 0.35194700
8679.67 	 0.36241600
8692.56 	 0.35272900
8698.50 	 0.36056100
8718.86 	 0.35881400
8720.08 	 0.36214000
8725.37 	 0.35676000
8728.65 	 0.34580000
8786.76 	 0.35735700
8787.47 	 0.36097500
8787.89 	 0.34604600
8800.86 	 0.35234500
8820.39 	 0.35827700
8826.90 	 0.35507400
8836.62 	 0.35107300
8842.35 	 0.35191600
8843.45 	 0.35081300
8854.18 	 0.35518100
8863.78 	 0.34808400
8866.78 	 0.34840600
8869.84 	 0.35557900
8877.09 	 0.35317300
8878.52 	 0.34104900
8881.70 	 0.35351000
8888.37 	 0.35702000
8891.00 	 0.35406200
8910.24 	 0.35551800
8917.99 	 0.35182400
8934.61 	 0.34486500
8950.35 	 0.34905000
8971.23 	 0.34163100
8974.14 	 0.35626900
8998.32 	 0.33104000
9005.08 	 0.34488100
9016.22 	 0.32923100
9018.02 	 0.34187700
9023.12 	 0.34262800
9030.70 	 0.33504000
9064.25 	 0.33970000
9084.54 	 0.35000000
9100.46 	 0.33314000
9105.54 	 0.33847400
9109.74 	 0.34339400
9118.99 	 0.33355400
9130.44 	 0.33292500
9134.65 	 0.34408400
9156.91 	 0.33289500
9158.42 	 0.32633400
9166.51 	 0.33717100
9174.58 	 0.32889400
9176.01 	 0.33856600
9192.14 	 0.33986900
9197.45 	 0.33493300
9223.10 	 0.33450400
9227.04 	 0.32130700
9241.31 	 0.33962300
9258.06 	 0.33904100
9268.23 	 0.32697800
9273.50 	 0.33333900
9280.69 	 0.32244100
9310.50 	 0.33847400
9326.98 	 0.33651200
9336.02 	 0.33634300
9346.26 	 0.32740700
9348.76 	 0.33473400
9354.31 	 0.32860300
9359.34 	 0.33194400
9383.82 	 0.34259700
9389.61 	 0.33896400
9396.43 	 0.35456800
9400.26 	 0.35036800
9406.70 	 0.35781700
9411.79 	 0.35283600
9424.94 	 0.34929500
9472.50 	 0.34771600
9502.29 	 0.35804700
9518.44 	 0.36187900
9520.43 	 0.35369400
9526.85 	 0.35852200
9529.35 	 0.35139500
9537.50 	 0.36486800
9538.63 	 0.36698300
9562.70 	 0.35254500
9584.21 	 0.35614700
9586.58 	 0.35637700
9630.56 	 0.35688200
9630.90 	 0.34363900
9636.31 	 0.34785400
9638.88 	 0.34091100
9655.06 	 0.35436900
9663.96 	 0.35813900
9669.57 	 0.35666800
9679.55 	 0.35272900
9695.03 	 0.34757800
9705.42 	 0.36592600
9724.48 	 0.34459000
9741.73 	 0.35381700
9783.98 	 0.34443600
9799.08 	 0.35104300
9822.12 	 0.34888100
9826.76 	 0.34915700
9846.17 	 0.35648400
9848.18 	 0.34363900
9864.14 	 0.34687300
9864.55 	 0.35096600
9894.78 	 0.34227500
9922.61 	 0.35010800
9948.88 	 0.34909600
9951.33 	 0.33473400
9959.38 	 0.34249000
9960.66 	 0.33661900
9974.67 	 0.34747100
9983.50 	 0.34872800
9998.56 	 0.34337900
10000.88 	 0.34570900
10009.44 	 0.33887200
10033.84 	 0.34770100
10044.23 	 0.33864200
10104.54 	 0.33875000
10108.13 	 0.35184000
10140.55 	 0.34072700
10158.84 	 0.34376200
10181.30 	 0.34650600
10202.21 	 0.35464400
10216.39 	 0.35863000
10220.78 	 0.35159400
10237.89 	 0.35046000
10245.23 	 0.35930400
10273.32 	 0.34187700
10278.29 	 0.35659100
10279.00 	 0.34045100
10281.70 	 0.35369400
10300.61 	 0.34535600
10308.74 	 0.33749300
10311.86 	 0.33878000
10313.83 	 0.34621400
10331.70 	 0.34385400
10332.33 	 0.34561700
10338.95 	 0.34399200
10344.33 	 0.33812100
10373.41 	 0.34317900
10385.45 	 0.33111700
10402.29 	 0.35061300
10405.48 	 0.34564700
10413.52 	 0.34486500
10438.17 	 0.34368500
10459.58 	 0.34655200
10475.93 	 0.34353200
10490.38 	 0.33465700
10492.37 	 0.33757000
10497.74 	 0.35042900
10500.26 	 0.34334800
10508.85 	 0.33868800
10558.77 	 0.33839700
10568.01 	 0.36247700
10577.32 	 0.35245300
10581.08 	 0.34336300
10588.40 	 0.33798300
10616.65 	 0.33944000
10620.28 	 0.35502800
10625.26 	 0.34143200
10628.54 	 0.34642900
10630.44 	 0.34938700
10667.05 	 0.34218300
10690.46 	 0.35211500
10692.72 	 0.34885100
10712.78 	 0.34603000
10729.71 	 0.34947900
10742.90 	 0.34794600
10777.40 	 0.35098100
10787.04 	 0.34814600
10824.07 	 0.34790000
10834.70 	 0.36183300
10838.10 	 0.36172600
10849.68 	 0.33985300
10858.80 	 0.34888100
10861.50 	 0.34642900
10867.46 	 0.34883500
10877.64 	 0.36155700
10906.33 	 0.35254500
10963.02 	 0.35593200
10967.05 	 0.35145600
11013.53 	 0.34520300
11019.43 	 0.34118700
11044.38 	 0.34275000
11058.00 	 0.34842100
11116.10 	 0.34609200
11122.76 	 0.35179400
11132.02 	 0.35271300
11147.67 	 0.35401600
11157.75 	 0.34883500
11176.05 	 0.34802300
11194.24 	 0.34813000
11224.17 	 0.34699600
11225.60 	 0.34935600
11242.64 	 0.34012900
11253.66 	 0.34909600
11262.16 	 0.35027600
11274.01 	 0.35236100
11304.00 	 0.34635200
11316.84 	 0.34250500
11324.01 	 0.34656700
11339.28 	 0.34012900
11346.24 	 0.33248100
11356.40 	 0.32972200
11361.89 	 0.33991500
11373.09 	 0.32986000
11413.32 	 0.34321000
11420.73 	 0.34727200
11445.10 	 0.33583800
11452.41 	 0.33732400
11467.93 	 0.33212800
11471.56 	 0.32906300
11485.48 	 0.32569100
11485.69 	 0.34943300
11494.65 	 0.34986200
11499.24 	 0.35360200
11510.27 	 0.32973700
11517.01 	 0.35452200
11520.09 	 0.34304200
11560.41 	 0.36036200
11567.52 	 0.36968100
11600.98 	 0.34888100
11609.80 	 0.34534100
11613.82 	 0.34249000
11615.10 	 0.35041400
11624.18 	 0.34469700
11635.84 	 0.35381700
11653.41 	 0.36433200
11687.16 	 0.35527300
11692.34 	 0.34685800
11697.83 	 0.35415400
11705.57 	 0.34258200
11709.24 	 0.34221400
11709.51 	 0.35551800
11733.30 	 0.35870600
11753.63 	 0.34734900
11757.49 	 0.35125700
11778.74 	 0.35645300
11792.32 	 0.34403800
11805.80 	 0.34541700
11808.30 	 0.35228400
11812.23 	 0.34454400
11827.49 	 0.34813000
11830.69 	 0.34270400
11833.12 	 0.35519600
